Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Term,City,Price_per_sqm
0,8500000,3,3,235,0,1,Cash,1,139,36170.21276595745
0,650000,3,1,125,0,4,Cash,1,135,5200.0
0,2500000,3,2,205,0,5,Cash,1,81,12195.121951219513
0,2364000,3,3,187,0,3,Cash,3,137,12641.711229946524
0,2600000,3,3,200,0,0,Cash or Installment,3,170,13000.0
0,3500000,3,3,165,0,5,Cash or Installment,3,170,21212.121212121212
0,700000,3,2,154,0,0,Cash or Installment,1,137,4545.454545454545
0,4500000,3,3,200,0,2,Cash,1,137,22500.0
0,600000,2,1,70,0,0,Installment,1,174,8571.42857142857
0,3381000,3,2,147,0,4,Cash or Installment,2,163,23000.0
0,2300000,3,3,186,0,2,Cash,3,170,12365.591397849463
0,385000,2,1,120,0,2,Cash or Installment,1,135,3208.3333333333335
0,4250000,3,3,224,0,2,Cash,2,93,18973.214285714286
0,1500000,3,2,200,0,2,Cash or Installment,3,170,7500.0
0,1650000,2,2,135,0,0,Cash,1,137,12222.222222222223
0,2000000,3,2,178,0,1,Cash,3,19,11235.955056179775
0,5000000,3,3,280,0,6,Cash,2,106,17857.14285714286
0,3400000,2,2,118,0,2,Cash,1,177,28813.5593220339
0,3000000,4,3,225,0,3,Cash or Installment,3,89,13333.333333333334
0,6600000,3,3,180,0,5,Cash,1,159,36666.666666666664
0,870000,3,3,126,0,5,Cash,1,112,6904.761904761905
0,3500000,3,3,169,0,2,Cash,3,165,20710.059171597633
0,3714800,3,2,148,0,6,Installment,1,134,25100.0
0,687000,2,2,112,0,4,Cash or Installment,1,20,6133.928571428572
0,5000000,2,2,133,0,3,Cash or Installment,2,65,37593.984962406015
2,550000,1,1,56,0,0,Installment,1,112,9821.42857142857
0,295000,2,1,80,0,4,Cash,1,135,3687.5
2,1236000,1,1,60,0,2,Cash or Installment,3,102,20600.0
0,1714000,3,3,190,0,3,Cash or Installment,1,206,9021.052631578947
0,450000,2,2,132,0,2,Installment,1,61,3409.090909090909
0,1150000,3,2,195,0,5,Cash,1,77,5897.4358974358975
0,1806000,4,3,210,0,3,Cash or Installment,3,0,8600.0
0,4600000,2,1,130,0,2,Installment,3,0,35384.61538461538
0,4000000,3,3,164,0,0,Cash,1,170,24390.243902439026
0,1375000,3,1,115,0,8,Cash,1,174,11956.521739130434
0,1900000,3,2,160,0,1,Cash,1,0,11875.0
0,2750000,3,2,175,0,1,Cash,1,170,15714.285714285714
1,4940765,3,3,201,0,0,Installment,2,85,24580.920398009952
0,710000,2,1,74,0,3,Cash or Installment,1,112,9594.594594594595
0,4000000,3,2,220,0,5,Cash,1,157,18181.81818181818
0,2000000,3,2,175,0,5,Installment,3,136,11428.57142857143
0,406000,2,1,78,0,1,Installment,1,112,5205.128205128205
0,450000,3,3,155,0,3,Cash or Installment,2,137,2903.2258064516127
0,450000,2,1,120,0,3,Cash or Installment,1,135,3750.0
0,4600000,2,2,140,0,1,Cash or Installment,2,36,32857.142857142855
1,580000,2,2,250,0,5,Cash or Installment,1,135,2320.0
0,5400000,4,3,200,0,3,Cash or Installment,1,112,27000.0
0,4500000,2,2,137,0,3,Installment,2,79,32846.71532846715
0,3200000,3,3,220,0,0,Cash,1,171,14545.454545454546
0,2185000,3,2,168,0,3,Cash or Installment,2,58,13005.952380952382
0,1430000,3,4,217,0,0,Cash or Installment,1,170,6589.861751152073
0,1175000,3,2,165,0,6,Cash,0,56,7121.212121212121
0,515092,3,3,155,0,2,Cash or Installment,3,138,3323.174193548387
0,4500000,3,3,250,0,5,Cash,1,122,18000.0
0,5404570,3,3,151,0,2,Cash or Installment,1,37,35791.85430463576
0,3300000,3,2,180,0,4,Cash,1,106,18333.333333333332
0,510000,3,1,150,0,0,Cash or Installment,1,135,3400.0
0,1220000,2,1,100,0,0,Installment,1,75,12200.0
0,1520000,3,3,190,0,0,Cash or Installment,3,0,8000.0
0,2300000,3,3,162,0,0,Cash,3,107,14197.530864197532
0,4900000,3,3,177,0,2,Cash,2,189,27683.61581920904
0,4455000,3,2,280,0,2,Installment,3,202,15910.714285714286
0,1850000,3,1,170,0,0,Cash,3,146,10882.35294117647
0,1935000,3,2,168,0,2,Installment,2,58,11517.857142857143
0,500000,1,1,56,0,0,Installment,1,112,8928.57142857143
0,855000,3,3,150,0,3,Cash or Installment,1,112,5700.0
0,2700000,2,2,100,0,3,Cash or Installment,3,0,27000.0
0,8323000,3,3,180,0,2,Cash,2,170,46238.88888888889
0,870000,2,1,80,0,0,Cash,1,44,10875.0
0,2200000,3,2,175,0,4,Cash,1,170,12571.42857142857
